综合,#genre#
CCTV13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8

CCTV1,mitv://generationnexxxt.com:19806/f1e3bc8a344e49dab603272c8fd2641e
CCTV2,mitv://generationnexxxt.com:19806/ce08ee69cea5402c99bf285704eac3e5
CCTV3,mitv://generationnexxxt.com:19806/784f6703531044be9cee14b793948d30
CCTV4,mitv://generationnexxxt.com:19806/50c3e18e04bf478db59251455cf3d309
CCTV5,mitv://generationnexxxt.com:19806/7d00bdeddb6c422796e62ae9e8b9398d
CCTV5+,mitv://generationnexxxt.com:19806/5b390808c064415fa55fa30feb8788ff
CCTV6,mitv://generationnexxxt.com:19806/3ec70c48b2024e4f9210169aec2914c7
CCTV7,mitv://generationnexxxt.com:19806/e70ef03e57794075962ec3960df5b167
CCTV8,mitv://generationnexxxt.com:19806/7c422f17b94c47928316bba288c64a25
CCTV9,mitv://generationnexxxt.com:19806/1d25488429514e78ab4d100819bece3e
CCTV10,mitv://generationnexxxt.com:19806/db6e0eae415d4d3c80389e51f8aac382
CCTV11,mitv://generationnexxxt.com:19806/aed547d30ca64a089f9b9adad8d9ee91
CCTV12,mitv://generationnexxxt.com:19806/70a7e5f93ab14d978706c237fe142277
CCTV13,mitv://generationnexxxt.com:19806/89e640d10d2646d3b7580c9bd85e9565
CCTV14,mitv://generationnexxxt.com:19806/5ce5a7ff03b541cc8ef405312b4fec09
CCTV15,mitv://generationnexxxt.com:19806/8914df6967f546eb8cf20ea35946ad8d
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
北京卫视,mitv://generationnexxxt.com:19806/8d7d0547db754c32bca6011693893b40
天津卫视,mitv://generationnexxxt.com:19806/0d7fa1ec8c4348e29bc3f09a38ae3691
河北卫视,mitv://generationnexxxt.com:19806/f0390f4cc1fa4b9991338bc6426deb17
黑龙江卫视,mitv://generationnexxxt.com:19806/2f690600a9454710b15b0e90853268c3
辽宁卫视,mitv://generationnexxxt.com:19806/4b1903b35f804f1180a4b346efbabfc9
东方卫视,mitv://generationnexxxt.com:19806/10521db17e054dbeba85448ac091ae64
江苏卫视,mitv://generationnexxxt.com:19806/13f3f27751184d95902e5c588264551e
浙江卫视,mitv://generationnexxxt.com:19806/7bf4b3a65eaf421ab6d71bd8dcc4547a
江西卫视,mitv://generationnexxxt.com:19806/d3548b106a7d45b4972427c3a75135ab
山东卫视,mitv://generationnexxxt.com:19806/be77ccef4df042ab909e0a2586844431
东南卫视,mitv://generationnexxxt.com:19806/00aae4669ca24ddabf43997323ceef8e
湖北卫视,mitv://generationnexxxt.com:19806/7553b94400ac4d85b752579acb37c0ce
湖南卫视,mitv://generationnexxxt.com:19806/45dc7947c5574ebfb0e68e5d0a537ed0
深圳卫视,mitv://generationnexxxt.com:19806/b8c8ef10f65649c9a43388d771203f61
广东卫视,mitv://generationnexxxt.com:19806/cf7073fbb4c5490a86aca002247700f9
广西卫视,mitv://generationnexxxt.com:19806/eb435193f43d4c8ca09c9ce477d4d7b9
重庆卫视,mitv://generationnexxxt.com:19806/c173700eaecc412695b37ac062b6abac
云南卫视,mitv://generationnexxxt.com:19806/9203ba029385410793e3f2b7bffb3335
星空卫视,mitv://generationnexxxt.com:19806/0b87528420394614b1016123ff4fda4c
大湾区卫视,mitv://generationnexxxt.com:19806/587bc565d5a4413987fdce380a48a332
珠江台,mitv://generationnexxxt.com:19806/a050c8e736174de681b13b8ebd2ce3c4
动漫秀场,mitv://generationnexxxt.com:19806/b04bd3e03b1747aab44579ca81c664c8
魅力足球,mitv://generationnexxxt.com:19806/ca7a1a18635e453a9a77e5fd5d425e89
五星体育,mitv://generationnexxxt.com:19806/d75057c993f84e7c86f94e8f1e56ad24
广东体育,mitv://generationnexxxt.com:19806/bb744a1252da46a6a2ae5546f4da7c72
私人影院,mitv://generationnexxxt.com:19806/3cfadd5e9af14d6db652b3c23acd7a7d
CHC动作电影,mitv://generationnexxxt.com:19806/1b4ebad47ed94c6291646a4a5d1ff3b6
广东影视,mitv://generationnexxxt.com:19806/f2dbc62d3b0b4af3ac2420174eadf202
CHC高清电影,mitv://generationnexxxt.com:19806/02385419696a411db959037c2190cf11
CHC家庭影院,mitv://generationnexxxt.com:19806/28fb3856055c452db8f17441c99f21cf
